Date,Maximum,Minimum,Average,Departure,HDD,CDD,Precipitation,New Snow,Snow Depth
4/16/2010,80,50,65,13.7,0,0,0.24,0,0
4/17/2010,51,39,45,-6.6,20,0,T,0,0
4/18/2010,47,36,41.5,-10.5,23,0,T,0,0
4/19/2010,61,32,46.5,-5.8,18,0,0,0,0
4/20/2010,64,35,49.5,-3.1,15,0,0,0,0
4/21/2010,67,39,53,0.1,12,0,0,0,0
4/22/2010,68,42,55,1.8,10,0,0,0,0
4/23/2010,67,42,54.5,0.9,10,0,0,0,0
4/24/2010,65,50,57.5,3.6,7,0,0.25,0,0
4/25/2010,76,53,64.5,10.3,0,0,0.27,0,0
4/26/2010,59,48,53.5,-1,11,0,0.7,0,0
4/27/2010,53,38,45.5,-9.3,19,0,0,0,0
4/28/2010,53,32,42.5,-12.5,22,0,T,0,0
4/29/2010,65,34,49.5,-5.8,15,0,0,0,0
4/30/2010,81,43,62,6.4,3,0,0,0,0
5/1/2010,83,59,71,15.1,0,6,0,0,0
5/2/2010,71,63,67,10.8,0,2,0.62,0,0
5/3/2010,76,59,67.5,11,0,3,0.12,0,0
5/4/2010,73,52,62.5,5.8,2,0,T,0,0
5/5/2010,80,47,63.5,6.5,1,0,0,0,0
5/6/2010,72,52,62,4.7,3,0,0.05,0,0
5/7/2010,83,42,62.5,5,2,0,0,0,0
5/8/2010,79,41,60,2.2,5,0,0.39,0,0
5/9/2010,53,35,44,-14.1,21,0,T,0,0
5/10/2010,59,31,45,-13.3,20,0,0,0,0
5/11/2010,60,42,51,-7.6,14,0,0.72,0,0
5/12/2010,59,50,54.5,-4.4,10,0,0.12,0,0
5/13/2010,77,45,61,1.8,4,0,0,0,0
5/14/2010,81,58,69.5,10.1,0,5,0,0,0
5/15/2010,71,50,60.5,0.8,4,0,T,0,0
5/16/2010,69,52,60.5,0.5,4,0,T,0,0
5/17/2010,60,52,56,-4.3,9,0,1.26,0,0
5/18/2010,60,51,55.5,-5,9,0,0.25,0,0
5/19/2010,68,50,59,-1.8,6,0,0.02,0,0
5/20/2010,79,48,63.5,2.4,1,0,0,0,0
5/21/2010,75,53,64,2.6,1,0,T,0,0
5/22/2010,72,59,65.5,3.8,0,1,0.53,0,0
5/23/2010,78,57,67.5,5.5,0,3,0,0,0
5/24/2010,77,60,68.5,6.2,0,4,0,0,0
5/25/2010,83,60,71.5,8.9,0,7,0,0,0
5/26/2010,87,60,73.5,10.6,0,9,0,0,0
5/27/2010,87,61,74,10.8,0,9,0,0,0
5/28/2010,86,63,74.5,11,0,10,0.72,0,0
5/29/2010,84,59,71.5,7.7,0,7,0,0,0
5/30/2010,85,58,71.5,7.4,0,7,0,0,0
5/31/2010,83,62,72.5,8.1,0,8,0.39,0,0
6/1/2010,79,65,72,7.3,0,7,0.01,0,0
6/2/2010,82,59,70.5,5.5,0,6,2.17,T,0
6/3/2010,78,64,71,5.7,0,6,0.04,0,0
6/4/2010,81,64,72.5,6.9,0,8,0.09,0,0
6/5/2010,75,67,71,5.1,0,6,1.02,0,0
6/6/2010,75,58,66.5,0.3,0,2,0.04,0,0
6/7/2010,70,53,61.5,-5.1,3,0,0,0,0
6/8/2010,72,48,60,-6.9,5,0,T,0,0
6/9/2010,71,57,64,-3.2,1,0,0.58,0,0
6/10/2010,80,61,70.5,3,0,6,0,0,0
6/11/2010,78,57,67.5,-0.2,0,3,T,0,0
6/12/2010,86,67,76.5,8.5,0,12,0.01,0,0
6/13/2010,82,68,75,6.7,0,10,0.02,0,0
6/14/2010,78,64,71,2.4,0,6,0,0,0
6/15/2010,78,66,72,3.1,0,7,0.01,0,0
6/16/2010,83,66,74.5,5.4,0,10,0,0,0
6/17/2010,71,57,64,-5.4,1,0,0,0,0
6/18/2010,83,52,67.5,-2.1,0,3,0,0,0
6/19/2010,86,66,76,6.1,0,11,0.2,0,0
6/20/2010,82,66,74,3.9,0,9,0,0,0
6/21/2010,84,61,72.5,2.2,0,8,0,0,0
6/22/2010,84,68,76,5.4,0,11,0.23,0,0
6/23/2010,88,70,79,8.2,0,14,0.59,0,0
6/24/2010,82,65,73.5,2.5,0,9,T,0,0
6/25/2010,82,60,71,-0.1,0,6,0,0,0
6/26/2010,84,61,72.5,1.2,0,8,0,0,0
6/27/2010,88,72,80,8.5,0,15,0.03,0,0
6/28/2010,81,69,75,3.4,0,10,0.09,0,0
6/29/2010,74,55,64.5,-7.3,0,0,0,0,0
6/30/2010,74,50,62,-9.9,3,0,0,0,0
7/1/2010,74,49,61.5,-10.6,3,0,0,0,0
7/2/2010,77,49,63,-9.2,2,0,0,0,0
7/3/2010,85,54,69.5,-2.8,0,5,0,0,0
7/4/2010,88,58,73,0.6,0,8,0,0,0
7/5/2010,91,68,79.5,7,0,15,0,0,0
7/6/2010,93,69,81,8.5,0,16,0,0,0
7/7/2010,93,68,80.5,7.9,0,16,0,0,0
7/8/2010,92,69,80.5,7.8,0,16,0,0,0
7/9/2010,87,69,78,5.3,0,13,1.64,0,0
7/10/2010,84,65,74.5,1.8,0,10,0,0,0
7/11/2010,86,59,72.5,-0.3,0,8,0,0,0
7/12/2010,82,68,75,2.2,0,10,T,0,0
7/13/2010,80,69,74.5,1.7,0,10,0.19,0,0
7/14/2010,86,68,77,4.2,0,12,0,0,0
7/15/2010,88,67,77.5,4.7,0,13,0,0,0
7/16/2010,87,71,79,6.2,0,14,0,0,0
7/17/2010,88,67,77.5,4.7,0,13,T,0,0
7/18/2010,89,72,80.5,7.7,0,16,T,0,0
7/19/2010,85,69,77,4.2,0,12,0.14,0,0
7/20/2010,82,68,75,2.2,0,10,0.23,0,0
7/21/2010,86,70,78,5.2,0,13,0.29,0,0
7/22/2010,87,68,77.5,4.7,0,13,0,0,0
7/23/2010,93,77,85,12.2,0,20,0,0,0
7/24/2010,93,71,82,9.3,0,17,0.28,0,0
7/25/2010,84,67,75.5,2.8,0,11,0.05,0,0
7/26/2010,83,61,72,-0.7,0,7,0,0,0
7/27/2010,85,62,73.5,0.9,0,9,0,0,0
7/28/2010,90,64,77,4.4,0,12,T,0,0
7/29/2010,83,64,73.5,0.9,0,9,0.03,0,0
7/30/2010,81,57,69,-3.6,0,4,0,0,0
7/31/2010,82,63,72.5,0,0,8,0.01,0,0
8/1/2010,83,67,75,2.5,0,10,0,0,0
8/2/2010,88,66,77,4.5,0,12,0,0,0
8/3/2010,78,71,74.5,2.1,0,10,0.11,0,0
8/4/2010,89,70,79.5,7.1,0,15,0.08,0,0
8/5/2010,86,70,78,5.7,0,13,0.04,0,0
8/6/2010,79,62,70.5,-1.8,0,6,T,0,0
8/7/2010,81,58,69.5,-2.8,0,5,0,0,0
8/8/2010,86,58,72,-0.2,0,7,0,0,0
8/9/2010,89,61,75,2.8,0,10,0,0,0
8/10/2010,93,69,81,8.9,0,16,T,0,0
8/11/2010,93,70,81.5,9.4,0,17,0,0,0
8/12/2010,86,73,79.5,7.5,0,15,0.23,0,0
8/13/2010,86,68,77,5.1,0,12,0,0,0
8/14/2010,90,69,79.5,7.6,0,15,0.78,0,0
8/15/2010,87,72,79.5,7.7,0,15,0.01,0,0
8/16/2010,84,66,75,3.3,0,10,0,0,0
8/17/2010,84,59,71.5,-0.1,0,7,0,0,0
8/18/2010,85,62,73.5,2,0,9,0,0,0
8/19/2010,87,62,74.5,3.1,0,10,0,0,0
8/20/2010,89,64,76.5,5.2,0,12,0,0,0
8/21/2010,87,67,77,5.8,0,12,0.32,0,0
8/22/2010,82,69,75.5,4.4,0,11,T,0,0
8/23/2010,75,65,70,-0.9,0,5,0.11,0,0
8/24/2010,72,63,67.5,-3.3,0,3,0,0,0
8/25/2010,78,62,70,-0.6,0,5,T,0,0
8/26/2010,78,60,69,-1.5,0,4,0,0,0
8/27/2010,78,50,64,-6.3,1,0,0,0,0
8/28/2010,85,51,68,-2.1,0,3,0,0,0
8/29/2010,91,55,73,3.1,0,8,0,0,0
8/30/2010,91,58,74.5,4.8,0,10,0,0,0
8/31/2010,92,63,77.5,8.1,0,13,0,0,0
9/1/2010,90,64,77,7.8,0,12,0,0,0
9/2/2010,93,67,80,11.1,0,15,0,0,0
9/3/2010,88,63,75.5,6.8,0,11,0.2,0,0
9/4/2010,69,55,62,-6.4,3,0,0,0,0
9/5/2010,71,48,59.5,-8.6,5,0,0,0,0
9/6/2010,78,47,62.5,-5.3,2,0,0,0,0
9/7/2010,90,58,74,6.5,0,9,0.55,0,0
9/8/2010,75,56,65.5,-1.6,0,1,0,0,0
9/9/2010,68,53,60.5,-6.3,4,0,0,0,0
9/10/2010,69,49,59,-7.4,6,0,0,0,0
9/11/2010,78,48,63,-3.1,2,0,0.14,0,0
9/12/2010,74,53,63.5,-2.2,1,0,0.02,0,0
9/13/2010,81,51,66,0.7,0,1,0.01,0,0
9/14/2010,77,54,65.5,0.5,0,1,0,0,0
9/15/2010,78,52,65,0.4,0,0,0,0,0
9/16/2010,68,59,63.5,-0.7,1,0,0.44,0,0
9/17/2010,66,51,58.5,-5.3,6,0,0.01,0,0
9/18/2010,77,45,61,-2.4,4,0,T,0,0
9/19/2010,80,58,69,6.1,0,4,T,0,0
9/20/2010,72,53,62.5,0,2,0,0,0,0
9/21/2010,85,47,66,3.9,0,1,0,0,0
9/22/2010,87,66,76.5,14.8,0,12,0.07,0,0
9/23/2010,87,63,75,13.7,0,10,0,0,0
9/24/2010,89,73,81,20.2,0,16,T,0,0
9/25/2010,73,54,63.5,3.1,1,0,0,0,0
9/26/2010,66,48,57,-3,8,0,0,0,0
9/27/2010,66,56,61,1.4,4,0,0.34,0,0
9/28/2010,63,55,59,-0.2,6,0,1.2,0,0
9/29/2010,64,51,57.5,-1.3,7,0,0,0,0
9/30/2010,66,57,61.5,3.2,3,0,0.29,0,0
10/1/2010,66,47,56.5,-1.4,8,0,0,0,0
10/2/2010,66,40,53,-4.5,12,0,T,0,0
10/3/2010,54,47,50.5,-6.6,14,0,0.29,0,0
10/4/2010,49,44,46.5,-10.3,18,0,0.05,0,0
10/5/2010,51,44,47.5,-8.9,17,0,0.21,0,0
10/6/2010,52,44,48,-8,17,0,0.27,0,0
10/7/2010,68,46,57,1.4,8,0,0,0,0
10/8/2010,73,42,57.5,2.2,7,0,0,0,0
10/9/2010,78,49,63.5,8.6,1,0,0,0,0
10/10/2010,83,49,66,11.5,0,1,0,0,0
10/11/2010,79,52,65.5,11.3,0,1,0.08,0,0
10/12/2010,70,48,59,5.1,6,0,0.04,0,0
10/13/2010,68,41,54.5,1,10,0,0,0,0
10/14/2010,61,45,53,-0.2,12,0,0.03,0,0
10/15/2010,59,44,51.5,-1.4,13,0,T,0,0
10/16/2010,62,39,50.5,-2.1,14,0,0,0,0
10/17/2010,68,43,55.5,3.2,9,0,0,0,0
10/18/2010,60,37,48.5,-3.4,16,0,0.31,0,0
10/19/2010,58,38,48,-3.6,17,0,T,0,0
10/20/2010,61,35,48,-3.3,17,0,0,0,0
10/21/2010,57,43,50,-1.1,15,0,0,0,0
10/22/2010,55,34,44.5,-6.3,20,0,0,0,0
10/23/2010,71,37,54,3.5,11,0,0,0,0
10/24/2010,75,52,63.5,13.3,1,0,0,0,0
10/25/2010,65,57,61,11.1,4,0,0.17,0,0
10/26/2010,79,52,65.5,15.9,0,1,0.67,0,0
10/27/2010,68,45,56.5,7.2,8,0,0,0,0
10/28/2010,62,44,53,4,12,0,0,0,0
10/29/2010,46,33,39.5,-9.3,25,0,T,0,0
10/30/2010,55,33,44,-4.5,21,0,0,0,0
10/31/2010,52,36,44,-4.2,21,0,0,0,0
11/1/2010,47,28,37.5,-10.4,27,0,0,0,0
11/2/2010,51,28,39.5,-8.1,25,0,0,0,0
11/3/2010,58,26,42,-5.3,23,0,0,0,0
11/4/2010,46,36,41,-6,24,0,0.03,0,0
11/5/2010,45,34,39.5,-7.2,25,0,0.13,T,0
11/6/2010,40,30,35,-11.4,30,0,T,T,0
11/7/2010,45,26,35.5,-10.5,29,0,0,0,0
11/8/2010,58,26,42,-3.7,23,0,0,0,0
11/9/2010,58,28,43,-2.4,22,0,0,0,0
11/10/2010,61,30,45.5,0.4,19,0,0,0,0
11/11/2010,63,30,46.5,1.8,18,0,0,0,0
11/12/2010,67,30,48.5,4.1,16,0,0,0,0
11/13/2010,67,31,49,5,16,0,0,0,0
11/14/2010,51,39,45,1.3,20,0,0.15,0,0
11/15/2010,48,29,38.5,-4.8,26,0,0,0,0
11/16/2010,55,42,48.5,5.6,16,0,0.4,0,0
11/17/2010,55,40,47.5,4.9,17,0,T,0,0
11/18/2010,44,37,40.5,-1.7,24,0,T,0,0
11/19/2010,45,30,37.5,-4.3,27,0,0,0,0
11/20/2010,45,32,38.5,-2.9,26,0,0,0,0
11/21/2010,64,30,47,6,18,0,0,0,0
11/22/2010,69,50,59.5,18.9,5,0,0,0,0
11/23/2010,63,37,50,9.8,15,0,0.1,0,0
11/24/2010,39,32,35.5,-4.4,29,0,0.01,T,0
11/25/2010,53,37,45,5.5,20,0,1.89,0,0
11/26/2010,54,28,41,1.9,24,0,0.31,0,0
11/27/2010,34,28,31,-7.7,34,0,T,T,0
11/28/2010,42,22,32,-6.3,33,0,0,0,0
11/29/2010,51,23,37,-0.9,28,0,0,0,0
11/30/2010,53,43,48,10.5,17,0,2.95,0,0
12/1/2010,51,27,39,1.9,26,0,0.64,2,0
12/2/2010,29,27,28,-8.7,37,0,0.01,0.4,2
12/3/2010,30,23,26.5,-9.8,38,0,T,0.1,2
12/4/2010,30,19,24.5,-11.5,40,0,T,T,0
12/5/2010,28,24,26,-9.6,39,0,0.02,0.5,0
12/6/2010,26,20,23,-12.2,42,0,0.04,0.5,1
12/7/2010,24,18,21,-13.8,44,0,T,T,1
12/8/2010,27,19,23,-11.5,42,0,T,0.1,0
12/9/2010,26,17,21.5,-12.6,43,0,T,0.2,0
12/10/2010,37,23,30,-3.8,35,0,0.03,0.3,1
12/11/2010,47,24,35.5,2,29,0,T,T,0
12/12/2010,41,23,32,-1.2,33,0,0.46,0.1,0
12/13/2010,23,14,18.5,-14.3,46,0,0.13,4,0
12/14/2010,17,12,14.5,-18,50,0,0.02,0.5,4
12/15/2010,22,12,17,-15.2,48,0,T,T,3
12/16/2010,25,10,17.5,-14.5,47,0,0,0,1
12/17/2010,28,17,22.5,-9.2,42,0,T,T,1
12/18/2010,27,18,22.5,-8.9,42,0,0,0,1
12/19/2010,26,12,19,-12.2,46,0,0.01,0.3,1
12/20/2010,27,20,23.5,-7.4,41,0,0.02,0.3,1
12/21/2010,29,19,24,-6.7,41,0,0,0,1
12/22/2010,30,27,28.5,-2,36,0,T,T,1
12/23/2010,30,26,28,-2.3,37,0,0.05,0.6,1
12/24/2010,29,25,27,-3.1,38,0,T,T,2
12/25/2010,29,23,26,-3.9,39,0,0.04,0.7,2
12/26/2010,25,19,22,-7.7,43,0,0.02,1.1,2
12/27/2010,26,18,22,-7.5,43,0,0.01,0.5,3
12/28/2010,31,15,23,-6.4,42,0,0,0,3
12/29/2010,37,24,30.5,1.3,34,0,0,0,2
12/30/2010,40,23,31.5,2.4,33,0,0.06,0,1
12/31/2010,59,33,46,17,19,0,0,0,0
1/1/2011,56,42,49,20.1,16,0,0.78,0,0
1/2/2011,42,20,31,2.3,34,0,T,0,0
1/3/2011,34,18,26,-2.7,39,0,0,0,0
1/4/2011,39,26,32.5,3.9,32,0,0,0,0
